feature_id,region,district,township,ex_from,ex_to,kv_type,cable_type,vertex_count,actual_length_km,straight_line_km,detour_extra_km,sinuosity_index,detour_pct,classification,significant_detour
All_states_region_MVLine_tsp_level.1285,Mandalay,Pyinoolwin,Madaya,,,,,2,0.669827,0.669827,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1286,Mandalay,Pyinoolwin,Madaya,,,,,2,1.765939,1.765939,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1287,Mandalay,Pyinoolwin,Madaya,,,,,2,1.307946,1.307946,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1288,Mandalay,Pyinoolwin,Madaya,,,,,2,0.840806,0.840806,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1289,Mandalay,Pyinoolwin,Madaya,,,,,2,1.590909,1.590909,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1290,Mandalay,Pyinoolwin,Madaya,,,,,7,6.295897,5.855473,0.440425,1.075216,7.5216,minor_detour,False
All_states_region_MVLine_tsp_level.1291,Mandalay,Pyinoolwin,Madaya,,,,,4,1.738708,1.428369,0.310339,1.217268,21.7268,moderate_detour,True
All_states_region_MVLine_tsp_level.1292,Mandalay,Pyinoolwin,Madaya,,,,,4,4.929209,4.691075,0.238135,1.050763,5.0763,minor_detour,False
All_states_region_MVLine_tsp_level.1293,Mandalay,Pyinoolwin,Mogoke,,,,,5,14.160948,13.780653,0.380295,1.027596,2.7596,near_straight,False
All_states_region_MVLine_tsp_level.1294,Mandalay,Pyinoolwin,Mogoke,,,,,2,1.698676,1.698676,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1295,Mandalay,Pyinoolwin,Mogoke,,,,,4,12.563413,11.408487,1.154926,1.101234,10.1234,minor_detour,False
All_states_region_MVLine_tsp_level.1296,Mandalay,Pyinoolwin,Mogoke,Mogoke,Kyatphin,,,5,9.820287,9.475651,0.344635,1.036371,3.6371,near_straight,False
All_states_region_MVLine_tsp_level.1297,Mandalay,Pyinoolwin,Mogoke,,,,,8,10.366976,9.519618,0.847358,1.089012,8.9012,minor_detour,False
All_states_region_MVLine_tsp_level.1298,Mandalay,Pyinoolwin,Mogoke,,,,,2,1.549607,1.549607,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1299,Mandalay,Pyinoolwin,Mogoke,,,,,5,5.691856,5.05647,0.635386,1.125658,12.5658,minor_detour,False
